user_id,model,lda_gini,bert_gini,post_count,lda_duplicate_ratio,bert_duplicate_ratio
beverlybalsom,LDA only,0.7868917918143173,0.7445832744052033,1.0,0.0,0.0
bgarner2107,BERTopic only,0.4251355110512425,0.8400797910379613,22.0,0.0,0.0
dominicvalent,BERTopic only,0.4256818362822135,0.8169941274938547,20.0,0.0001174398120963,0.0002115730455939
gab1aldana,BERTopic only,0.3872212485399344,0.8674199577965875,17.0,0.0,0.000804828973843
hamburgbote,LDA only,0.7157182149433842,0.746398525820537,1.0,0.0,0.0
hellieedwards,BERTopic only,0.3479955500629082,0.8535575286132989,14.0,0.0,0.0
heyitsglor,LDA only,0.9059660306496788,0.7273358267613396,1.0,0.0,0.0
loragreeen,BERTopic only,0.4036542454268783,0.8368606938416654,21.0,0.0,0.0
marissaimstrong,LDA only,0.6321070565027185,0.722682077768184,13.0,0.0031712473572938,0.006060606060606
stanley_cox_,LDA only,0.6841380119052095,0.7329038291462243,12.0,0.0085348506401137,0.0146341463414634
